X1	Y1	ProbId1	X2	Y2	ProbId2	
NaN	NaN	NaN	673.55	548.61	0.8
801.17	344.02	1	665.51	495.08	1
811.63	344.97	1	665.03	492.23	1
801.17	344.02	1	665.51	495.08	1
801.17	344.02	1	665.51	495.08	1
811.63	344.97	1	665.03	492.23	1
811.63	344.97	1	665.03	492.23	1
847.88	353.3	1	662.32	477.15	1
857.55	356.71	1	662.25	475.76	1
864.44	358.51	1	662.13	474.16	1
875.3	361.84	1	661.49	470.8	1
880.34	363.36	1	661.36	469	1
888.52	366.26	1	661.1	466.67	1
892.91	366.49	1	661.15	465.67	1
908.56	369.86	1	660.82	463.16	1
920	375.69	1	660.79	461.52	1
933.95	380.84	1	660.69	459.99	1
944.53	386.03	1	660.62	458.21	1
953.43	391.37	1	660.6	456.5	1
961.49	396.15	1	660.57	454.77	1
967.68	399.1	1	660.59	453.55	1
980.36	403.92	1	660.92	453.23	1
988.62	409.53	1	660.78	450.69	1
996.98	415.69	1	660.87	449.51	1
1004.5	420.73	1	660.89	447.74	1
1010.2	424.25	1	661.08	446.66	1
1016.9	428.51	1	661.14	445.09	1
1022.8	433.06	1	661.15	443.81	1
1027.6	440.12	1	661.35	442.76	1
1033.8	446.38	1	661.83	442.92	1
1039.5	451.78	1	662.22	442.83	1
1045	456.88	1	662.13	440.61	1
1050.6	462.06	1	662.37	439.87	1
1055.5	466.77	1	662.59	439.26	1
1058.8	469.98	1	662.72	438.24	1
1062	472.46	1	663.02	437.71	1
1072.8	478.05	1	663.42	436.81	1
1080.3	484.86	1	663.54	435.66	1
1087.2	492.28	1	663.74	435.3	1
1092.7	498.05	1	664.01	434.65	1
1095	507.5	1	664.26	433.61	1
1099.3	519.93	1	664.6	433.83	1
1104.6	533.66	1	665.57	430.74	1
1107.7	545.23	1	669.79	426.58	1
1111	554.55	1	674.14	423.39	1
1114.4	562.86	1	677.82	420.62	1
1117.6	571.04	1	680.63	418.66	1
1118.8	575.38	1	685.62	414.93	1
1119.7	583.22	1	688.9	412.56	1
1121.2	592.86	1	690.43	411.39	1
1123	599.67	1	694.83	408.1	1
1125.1	607.12	1	696.68	406.78	1
1126.8	613.74	1	699.01	404.93	1
1128.4	620.76	1	702.56	402.34	1
1129.1	622.87	1	704.82	400.73	1
1130.8	629.7	1	707.35	398.82	1
1133.4	634.1	1	709.45	397.36	1
1135.2	642.97	1	711.29	396.06	1
1135.5	655.83	1	713.51	394.48	1
1137	664.65	1	715.4	393.17	1
1137.8	674.54	1	717.36	391.95	1
1137.8	682.76	1	718.7	390.85	1
1137.8	690.37	1	720.78	389.4	1
