544.86	695.98	0.96615	NaN	NaN	NaN	402.5	681.71	0.56569	NaN	NaN	NaN	NaN	NaN	NaN	345.92	394.62	0.99504
542.55	695.12	0.96615	318.57	597.46	0.50254	391.19	675.38	0.56569	290.66	582.17	0.63522	NaN	NaN	NaN	345.98	394.52	0.99504
535.06	692.49	0.96615	328.9	608.85	0.50254	379.31	666.91	0.56569	289.22	576.32	0.63522	NaN	NaN	NaN	345.98	394.52	0.99504
528	691.18	0.96615	335.33	619.67	0.50254	369.33	657.55	0.56569	289.57	571.39	0.63522	NaN	NaN	NaN	345.8	394.71	0.99504
521.11	689.74	0.96615	339.3	629.3	0.50254	361.17	649.17	0.56569	299.73	579.77	0.63522	NaN	NaN	NaN	345.94	394.63	0.99504
514.93	688.33	0.96615	340.33	643.55	0.50254	354	641.54	0.56569	308.93	595.04	0.63522	NaN	NaN	NaN	346	394.53	0.99504
509.24	687.02	0.96615	343.04	657.96	0.85894	NaN	NaN	NaN	317.22	606.46	0.63522	NaN	NaN	NaN	345.98	394.52	0.99504
504.12	685.86	0.96615	346.7	669.7	0.85894	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	345.98	394.52	0.99504
499.23	684.87	0.96615	353.83	677.3	0.85894	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	346.11	394.43	0.99504
494.81	683.94	0.96615	364.67	685.59	0.85894	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	346.16	394.43	0.99504
491.6	683.26	0.96615	371.97	692.43	0.85894	NaN	NaN	NaN	352.2	647.11	0.54569	NaN	NaN	NaN	345.8	394.71	0.99504
487.56	682.46	0.96615	379.86	700.26	0.85894	NaN	NaN	NaN	358.89	659.72	0.54569	NaN	NaN	NaN	346.11	394.43	0.99504
483.86	681.59	0.96615	391.89	702.53	0.85894	NaN	NaN	NaN	363.22	669.15	0.54569	NaN	NaN	NaN	345.8	394.71	0.99504
480.95	680.81	0.96615	402.26	704.62	0.85894	NaN	NaN	NaN	366.86	679.11	0.54569	NaN	NaN	NaN	345.8	394.71	0.99504
478.36	680.09	0.96615	411.89	707.11	0.85894	NaN	NaN	NaN	370.33	687.98	0.54569	NaN	NaN	NaN	346.15	394.42	0.99504
476.45	679.61	0.96615	419.91	709.74	0.85894	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	346.11	394.43	0.99504
473.87	678.85	0.96615	425.89	711.89	0.85894	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	345.8	394.71	0.99504
470.99	677.97	0.96615	432.08	714.24	0.85894	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	345.98	394.52	0.99504
468.88	677.31	0.96615	437.27	716.33	0.85894	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	345.98	394.52	0.99504
