X1	Y1	ProbId1	X2	Y2	ProbId2	
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
864.14	900.17	0.99913	849.11	947.09	0.99913
864.14	900.17	0.99913	849.11	947.09	0.99913
874.85	885.67	0.99913	860.25	942.63	0.99913
874.85	885.67	0.99913	860.25	942.63	0.99913
874.85	885.67	0.99913	860.25	942.63	0.99913
897.39	856.39	0.99913	874.54	936.3	0.99913
905.41	847.89	0.99913	878.56	934.67	0.99913
911.72	840.83	0.99913	883.12	930.17	0.99913
919.84	832.48	0.99913	889.66	921.27	0.99913
924.72	826.96	0.99913	895.61	913.44	0.99913
931.11	820.45	0.99913	900.58	906.21	0.99913
936.5	814.91	0.99913	905.52	898.74	0.99913
941.9	809.39	0.99913	909.58	892.35	0.99913
948.4	802.85	0.99913	913.75	885.67	0.99913
952.79	797.98	0.99913	917.16	880.16	0.99913
956.4	794.24	0.99913	920.71	874.29	0.99913
961.73	788.91	0.99913	923.77	869.17	0.99913
965.97	784.62	0.99913	926.98	863.88	0.99913
969.57	780.97	0.99913	929.84	859.02	0.99913
972.63	777.82	0.99913	932.51	854.63	0.99913
976.15	774.27	0.99913	935.36	850.01	0.99913
980.34	770.02	0.99913	937.68	846.14	0.99913
983.57	766.34	0.99913	939.92	842.53	0.99913
985.8	763.93	0.99913	942.26	838.66	0.99913
988.65	760.95	0.99913	944.31	835.26	0.99913
992.27	756.97	0.99913	946.46	831.83	0.99913
995.4	753.37	0.99913	948.62	828.22	0.99913
996.8	751.87	0.99913	950.58	825.17	0.99913
998.95	749.32	0.99913	952.34	822.2	0.99913
1002.5	745.32	0.99913	954.27	819.19	0.99913
1003.8	743.83	0.99913	955.87	816.53	0.99913
1005.9	741.38	0.99913	957.58	813.86	0.99913
1009.2	737.65	0.99913	959.13	811.46	0.99913
1010.1	736.66	0.99913	960.6	809.03	0.99913
1013.3	733.06	0.99913	962.02	806.92	0.99913
1015.1	730.89	0.99913	963.53	804.66	0.99913
1015.9	729.88	0.99913	964.85	802.58	0.99913
1018.4	726.92	0.99913	966.39	800.39	0.99913
1020.3	724.71	0.99913	967.45	798.68	0.99913
1020.9	723.88	0.99913	968.77	796.68	0.99913
1022.6	721.75	0.99913	969.89	795	0.99913
1025	718.85	0.99913	971.32	792.86	0.99913
1026.2	717.33	0.99913	972.15	791.55	0.99913
1027.9	715.19	0.99913	973.57	789.49	0.99913
1028.2	714.56	0.99913	974.2	788.55	0.99913
1029.3	713.01	0.99913	975.32	786.82	0.99913
1031.3	710.41	0.99913	977.65	785.53	0.99913
1031.8	709.62	0.99913	983.55	782.86	0.99913
1034.2	706.63	0.99913	989.26	780.23	0.99913
1034.3	706.1	0.99913	994.25	778	0.99913
1036.2	703.73	0.99913	999	775.99	0.99913
1036.3	703.21	0.99913	1003.3	774.08	0.99913
1037.8	701.03	0.99913	1008.6	767.95	0.99913
1038	700.14	0.99913	1012.5	761.43	0.99913
1038.5	699.26	0.99913	1016	755.1	0.99913
1039.2	697.92	0.99913	1019.1	749.35	0.99913
1039	697.71	0.99913	1022	743.65	0.99913
1039.8	696.29	0.99913	1024.6	738.49	0.99913
1039.9	695.63	0.99913	1026.9	733.53	0.99913
1040.4	694.57	0.99913	1029	729.21	0.99913
1040.7	693.69	0.99913	1031.1	724.8	0.99913
1041.4	692.25	0.99913	1033.2	720.67	0.99913
1041.5	691.67	0.99913	1035.6	717.1	0.99913
1042.2	690.17	0.99913	1037.5	714.36	0.99913
1042.1	689.75	0.99913	1039.7	711.17	0.99913
1042.7	688.46	0.99913	1041.3	708.69	0.99913
1043	687.56	0.99913	1042.9	706.39	0.99913
1043.1	686.82	0.99913	1044.6	703.68	0.99913
1043.7	685.36	0.99913	1046.1	701.57	0.99913
1043.7	684.56	0.99913	1049.9	698.88	0.99913
1043.9	683.52	0.99913	1053.3	696.57	0.99913
1043.8	683.07	0.99913	1056.1	694.63	0.99913
1044.1	681.99	0.99913	1059.2	692.57	0.99913
1044.4	681.16	0.99913	1061.5	691	0.99913
1044.3	680.72	0.99913	1063.9	689.3	0.99913
